id,nombre,apellidos,numero_telefono,codigo_postal,url_registro,otra_info,estado,respuesta,columa_adicional,campo_adicional
6df3f0c8-46c3-462a-b3b1-b4628e6d7a57,Steven,Mx. Amy Black Jr.,+34 169143495,91540,https://ejemplo.com/registro/38,*información adicional*,Actiu,Volver a llamar,,
7e29a77f-7524-4032-8269-30e9c562f953,Gary,Allison Phelps,+34 821082123,69369,https://ejemplo.com/registro/49,*información adicional*,Fallit,Cuelga/no colabora,,
547eaf48-7327-44bf-9aca-b1c87a174c40,Erin,Joseph Wagner,+34 680934314,61193,https://ejemplo.com/registro/71,*información adicional*,Fallit,NO interesa propuesta,,
a89b9de1-6831-4677-9678-185526c49df6,Tiffany,John Mendez,+34 179643922,57189,https://ejemplo.com/registro/19,*información adicional*,Actiu,Robinsion,,
f6b5ff91-c02e-43fe-892f-4a0f4aac0273,Jennifer,Amanda Bailey,+34 976413758,65497,https://ejemplo.com/registro/74,*información adicional*,Fallit,NO interesa propuesta,,
0651abaa-aa37-422d-befb-42555ab3ec64,Kyle,Megan Santana,+34 792946402,34514,https://ejemplo.com/registro/43,*información adicional*,Actiu,Robinsion,,
64e29459-b96c-4636-a4fc-1daa1a16db7d,Emily,Connie Watkins MD,+34 530216321,28647,https://ejemplo.com/registro/14,*información adicional*,Pendent,Telefono erroneo,,
53bced8f-a23c-4a26-86c3-0695d7a6d734,Jorge,John Smith DDS,+34 128864598,94342,https://ejemplo.com/registro/73,*información adicional*,Fallit,Robinsion,,
9e7c74be-e748-4097-9f1a-d2d5f91f13a4,Shannon,Cheryl Hall,+34 447989050,88973,https://ejemplo.com/registro/41,*información adicional*,Fallit,NO interesa propuesta,,
a6f77a72-a2f3-456b-ae58-af41a823ec28,Michelle,Matthew Baldwin,+34 119859745,40182,https://ejemplo.com/registro/3,*información adicional*,Fallit,No contrata por mejor oferta,,
672cc002-995c-4177-8d71-0dcdccd24b9b,Bryan,Victoria Beck,+34 138306135,92193,https://ejemplo.com/registro/60,*información adicional*,Fallit,NO interesa propuesta,,
8a527593-9291-460a-8970-f528bd4e2b1b,Darrell,Stephanie Adams,+34 457641099,49581,https://ejemplo.com/registro/46,*información adicional*,Fallit,Telefono erroneo,,
2ebbdba8-ac64-4bf5-8830-86980e37598f,Tonya,Alicia Armstrong,+34 923334281,12173,https://ejemplo.com/registro/21,*información adicional*,Pendent,Telefono erroneo,,
563f904f-e43a-4ae6-876d-3703fbad546b,Jason,Teresa Daniels,+34 725038499,97231,https://ejemplo.com/registro/16,*información adicional*,Pendent,Telefono erroneo,,
ae4f6f32-2470-4c60-8eae-f6133c8786a0,Erin,Michael Meza,+34 343213534,14144,https://ejemplo.com/registro/85,*información adicional*,Fallit,No contrata por mejor oferta,,
3ce2947a-c905-46b5-a3ca-b8946091ba70,Dennis,Margaret Clark,+34 938053308,51890,https://ejemplo.com/registro/64,*información adicional*,Pendent,NO interesa propuesta,,
5dc94b22-d6dc-471f-9fa6-04b1c582b4df,Dustin,Mx. Lisa Powell,+34 348959677,73535,https://ejemplo.com/registro/44,*información adicional*,Pendent,Volver a llamar,,
ae7b914a-8ebc-40cd-90ef-cc223477fe63,Ryan,George Murphy,+34 450258602,88573,https://ejemplo.com/registro/93,*información adicional*,Pendent,Telefono erroneo,,
af13a81c-acfa-4d80-8a74-0fcaa43aafd1,Angela,Rebecca Carter,+34 254423310,87838,https://ejemplo.com/registro/95,*información adicional*,Fallit,No contesta,,
288db66f-7569-4789-8a4a-fc10d157ece1,Rebecca,Natalie Bradford,+34 956239735,53658,https://ejemplo.com/registro/67,*información adicional*,Pendent,No contrata por mejor oferta,,
ac223d5d-3f8a-444b-91c6-fe577aeb3b84,Tonya,Colleen Palmer,+34 902985040,37438,https://ejemplo.com/registro/65,*información adicional*,Actiu,No contesta,,
96c6d3bc-8368-4f67-875c-b9365eb08585,James,Steven Arnold,+34 145758795,26206,https://ejemplo.com/registro/35,*información adicional*,Fallit,Robinsion,,
1324e523-c8dc-4e07-bc13-bba0686532fa,Paula,Kimberly Rhodes,+34 443517703,15456,https://ejemplo.com/registro/17,*información adicional*,Actiu,Cuelga/no colabora,,
8d7ffbc1-9bd1-4975-9458-95263d905764,Bonnie,Kelsey Lowery,+34 269029900,33510,https://ejemplo.com/registro/43,*información adicional*,Actiu,Robinsion,,
a28ad28c-433a-4054-a5ed-8bf11f5ffab5,Robert,James Camacho,+34 151686597,74642,https://ejemplo.com/registro/3,*información adicional*,Fallit,No contesta,,
b5ea11a9-cceb-4c7f-bec4-5cfe1f8cf55d,Marcus,Samantha Taylor,+34 452648215,60861,https://ejemplo.com/registro/40,*información adicional*,Fallit,Cuelga/no colabora,,
a9834a1a-8a49-4d31-81d0-3f7c15beaa10,Steven,Robert Mendoza,+34 541585686,60657,https://ejemplo.com/registro/85,*información adicional*,Fallit,Contrata,,
2f676dc6-cfff-4176-af59-ce1cefed9796,Kimberly,Stephanie Walker,+34 812521845,98895,https://ejemplo.com/registro/40,*información adicional*,Pendent,Volver a llamar,,
3470a6e4-06d5-468a-b3a8-e1ad4c243c93,Anthony,Krista Ramirez,+34 135356037,66408,https://ejemplo.com/registro/92,*información adicional*,Fallit,No contrata por mejor oferta,,
1a31c19a-4115-4589-bfec-893a7a613bfc,Todd,Emily Scott,+34 890571459,32271,https://ejemplo.com/registro/74,*información adicional*,Actiu,No contrata por mejor oferta,,
db2bdbfc-431d-4793-9e06-1eca0a423e0b,Connor,William Carr,+34 256536272,94252,https://ejemplo.com/registro/73,*información adicional*,Pendent,Telefono erroneo,,
c446062c-2826-4fba-a1a1-5c51282dcdbe,Jeremy,Justin Thompson,+34 354657453,78759,https://ejemplo.com/registro/22,*información adicional*,Fallit,Robinsion,,
41b3628a-9593-4619-be70-35c0d3dcf0ed,Mark,Victor Williams,+34 830242420,23241,https://ejemplo.com/registro/98,*información adicional*,Pendent,Volver a llamar,,
fbcad20a-d584-4d7e-a78c-6223992f9947,Phyllis,Robin Grimes,+34 470697132,49259,https://ejemplo.com/registro/16,*información adicional*,Actiu,Robinsion,,
2c9a321c-ffef-4470-b9e8-e9a408c55e5c,Scott,Joshua Rice,+34 474012273,20070,https://ejemplo.com/registro/18,*información adicional*,Fallit,No contesta,,
88148b31-16e2-4450-a3ab-c5bebb4b34d6,Paul,Barbara Durham,+34 969530078,90270,https://ejemplo.com/registro/38,*información adicional*,Pendent,NO interesa propuesta,,
92ac7cce-8ac7-40f2-8fc0-b1a78ab5b066,Laura,Michael Jones,+34 993800740,77599,https://ejemplo.com/registro/59,*información adicional*,Actiu,No contesta,,
dbc774e4-ee88-40c3-9504-2640217f7b30,Colleen,Tiffany Meza,+34 951206912,77072,https://ejemplo.com/registro/13,*información adicional*,Actiu,Telefono erroneo,,
871e1b26-c54f-43c2-87cf-9517e6f1de65,William,Donald Fleming,+34 408053805,84028,https://ejemplo.com/registro/93,*información adicional*,Fallit,Contrata,,
d869b89a-9e4d-4e1a-9d23-9e9352abaed0,Kristina,Steven King,+34 581551532,45566,https://ejemplo.com/registro/42,*información adicional*,Fallit,Telefono erroneo,,
f7601722-cbd0-42ae-aa97-bb17f49d98cd,Nicole,Karen Taylor,+34 854284812,83628,https://ejemplo.com/registro/3,*información adicional*,Pendent,Cuelga/no colabora,,
f321eb26-e02d-42cb-8a59-3380af5ab5e6,Donald,Jamie Morton,+34 625099448,14359,https://ejemplo.com/registro/23,*información adicional*,Pendent,No contesta,,
12a8997f-4db3-43dd-9ffc-d95e5d82372a,Rachel,Jerome Ramirez,+34 558997009,14456,https://ejemplo.com/registro/35,*información adicional*,Fallit,Volver a llamar,,
61b60b7c-7519-4626-aa78-ce3fa8d59ca2,Bryan,Jacob Conrad,+34 126254655,10387,https://ejemplo.com/registro/32,*información adicional*,Actiu,Contrata,,
cd6966a4-6649-471b-9a6b-4701d72c0355,Kendra,Alfred Vazquez,+34 663536938,38307,https://ejemplo.com/registro/73,*información adicional*,Pendent,No contesta,,
